station_id,name,address,city,services
410,מצפה אביב,בכביש 781 כפר אעבלין,אעבלין,בנזין 98
100,אבו כביר,הרצל  188,תל אביב - יפו,פז wash | yellow | 24/7 | אוריאה
265,אביאל (סופרלנד),שד' מרילנד  ליד הסופרלנד,ראשון לציון,פז wash | yellow | 24/7 | בנזין 98 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם
628,אדום אילת,ששת הימים מול מפעלי תובלה,אילת,"פז wash | yellow | 24/7 | גפ""מ | פז charge"
405,און עפולה,כביש מס' 71  עפולה- בית שאן,עפולה,yellow | שומרות שבת | פז charge
616,אופקים,שדרות הרצל,אופקים,שומרות שבת
390,אורות,קניון אורות-שד' הנשיא פינת קופלביץ,אור עקיבא,פז wash | yellow | שומרות שבת | פז charge
305,אורלי,עין דור 16 ( (רחוב הבנקים),חיפה,yellow | 24/7
271,אורלי גהה,כביש 4,גבעת שמואל,yellow | שומרות שבת | כספומט | בנזין 98 | תרופות ללא מרשם
406,איכסל,כפר איכסאל,נצרת,yellow | תדלוק בשירות מלא
217,"אילון ב""ב",החשמונאים  6,בני ברק,yellow | שומרות שבת
151,אלוף שדה,אלוף שדה-רמת גן  15,גבעתיים,yellow | 24/7 | בנזין 98 | פז charge | תדלוק בשירות מלא | מיכלי גז
270,אלישמע,כביש 40 מול מושב אלישמע בכניסה המזרחית של הוד השרון,הוד השרון,yellow | 24/7 | בנזין 98 | פז charge
530,אלנבי,דרך חברון  99,ירושלים,24/7 | בנזין 98 | תדלוק בשירות מלא
426,אפק החדשה,מרחב מועצה אזורית סמוך לכביש 79,אפק,yellow | 24/7 | אוריאה | תרופות ללא מרשם
534,אפרידר אשקלון,ככר צפניה  10,אשקלון,yellow | 24/7 | פז charge
620,"אצטדיון ב""ש",דרך שמשון ליד האצטדיון,באר שבע,yellow | 24/7
235,"אצטדיון כ""ס","התע""ש פינת הפועל  32",כפר סבא,yellow market | 24/7 | כספומט | בנזין 98 | פז charge | מיכלי גז | תרופות ללא מרשם
208,"אצטדיון פ""ת",גיסין 37  קרית אריה,פתח תקווה,yellow market | 24/7 | בנזין 98 | מיכלי גז | תרופות ללא מרשם
536,אקסודוס,אקסודוס  6,אשקלון,yellow market | 24/7 | פז charge | תרופות ללא מרשם
275,אריאל,הכניסה לרחוב מוריה מול האונברסיטה,אריאל,yellow | 24/7 | בנזין 98 | תרופות ללא מרשם
138,אשדוד עיר,שד' בני ברית א.ת הקלה,אשדוד,פז wash | yellow | 24/7 | כספומט | פז charge | אוריאה | תרופות ללא מרשם
614,אשכול,כביש מגן מבטחים-צומת מגן,באר שבע,yellow | 24/7 | פלאפל בריבוע | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם
135,אשל הרצליה,"כביש ת""א-חיפה מחלף הסירה",הרצליה,yellow | 24/7 | בנזין 98 | פז charge | תרופות ללא מרשם
122,אשקלון גלים,כניסה ראשית של אשקלון-כ.אשקלון-עזה,אשקלון,"yellow | 24/7 | גפ""מ | פז charge"
166,אשקלון דוד,צומת אשקלון,אשקלון,24/7 | כספומט | פז charge | מיכלי גז | תרופות ללא מרשם
543,אשקלון דרום,שד' בר לב 28,אשקלון,yellow | בנזין 98 | פז charge | אוריאה
437,באקה,מחלף באקה - כביש 6,באקה אל-גרביה,yellow | 24/7 | כספומט | פז charge | אוריאה | תדלוק בשירות מלא
602,באר שבע מרכז,דרך חברון  1,באר שבע,yellow | 24/7 | כספומט
601,באר שבע צפון,שד' ירושלים  מול בית החייל באר שבע,באר שבע,yellow market | 24/7 | כספומט | בנזין 98 | מיכלי גז | תרופות ללא מרשם
373,ביר אל אמיר,אל-פאחיורה פינת רחוב 1006,נצרת,24/7 | בנזין 98 | אוריאה | תדלוק בשירות מלא
425,ביר אל מכסור,ליד שפרעם,ביר אל-מכסור,yellow | כספומט | בנזין 98 | אוריאה | תדלוק בשירות מלא
540,בית אל,בית אל,בית אל,שומרות שבת
417,בית הכרם,כביש 85 עכו צפת,מג'ד אל-כרום,"yellow | 24/7 | גפ""מ | כספומט | אוריאה"
510,בית חנינה,כביש ירושלים רמאללה,ירושלים,תדלוק בשירות מלא
375,בית יצחק,כביש 57 צומת השרון בכניסה לנורדיה,בית יצחק-שער חפר,yellow market | 24/7 | כספומט | בנזין 98 | פז charge | מיכלי גז | תרופות ללא מרשם
245,בית מור,"כביש 40 בין צומת ביל""ו לרמלה",רמלה,yellow | 24/7 | תדלוק בשירות מלא
629,בית קמה,צומת בית קמה,בית קמה,"yellow | 24/7 | גפ""מ | כספומט | פז charge | אוריאה | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם"
304,בית שאן,המלך שאול  304,בית שאן,yellow | שומרות שבת
518,בית שמש,כביש בכניסה לבית שמש,בית שמש,yellow | שומרות שבת | בנזין 98 | פז charge | אוריאה
538,בית שמש הצומת,א.ת צפוני,בית שמש,yellow | שומרות שבת | כספומט | תרופות ללא מרשם
303,בנימינה ברניצקי,כביש 4  צומת בנימינה,בנימינה-גבעת עדה,פז wash | yellow market | 24/7 | פז charge | אוריאה | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם
365,בעינה,כביש צפת עכו,דייר אל-אסד,
501,בקעה,דרך בית לחם  11,ירושלים,yellow | 24/7
419,בקעת טורעאן,בקעת טורעאן,טורעאן,תדלוק בשירות מלא
191,ברורים,כביש 40 - כביש 4 צומת ראם - קרית מלאכי,קרית מלאכי,yellow | 24/7 | פז charge | מיכלי גז | תרופות ללא מרשם
505,בר-כוכבא,שד' בן-צבי,ירושלים,yellow | שומרות שבת | בנזין 98
222,בת חפר,כביש 5714   בחן,בת חפר,24/7 | פז charge | אוריאה | תרופות ללא מרשם
323,בת-גלים,"יפו 180 כביש חיפה ת""א",חיפה,yellow | 24/7 | אוריאה
517,גבעת שאול,בית הדפוס גבעת שאול,ירושלים,פז wash | בנזין 98 | אוריאה | תדלוק בשירות מלא
258,גבריאל הרצל,רח' הרצל,אשדוד,yellow | 24/7 | פז charge | תרופות ללא מרשם
408,ג'דיידה,בכניסה לכפר מכר-ג'דיידה,ג'דיידה-מכר,yellow | 24/7 | כספומט | בנזין 98 | תדלוק בשירות מלא
391,גוש חלב,בכניסה לגוש חלב כביש מעלות צפת,ג'ש (גוש חלב),yellow | 24/7 | אוריאה
325,גיא-עירון,כביש מגידו חדרה נחל עירון,כפר קרע,yellow | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם
524,גילה,אונטרמן  שכונת גילה,ירושלים,yellow | 24/7 | תדלוק בשירות מלא
267,גילי (שדרות נים),שד' נים-קלמר שור ליד בית הקברות,ראשון לציון,yellow | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם
147,געש,ז'בוטינסקי  63,פתח תקווה,בנזין 98 | אוריאה | תדלוק בשירות מלא
152,גרוזנברג,גרוזנברג  16,תל אביב - יפו,תדלוק בשירות מלא
399,גרנות הגליל,כביש מס' 899 בקמ' ה-14 מצפה גרנות,גורנות הגליל,yellow
256,"גשר האר""י",רח האורזים פינת גשר הארי,נתניה,yellow market | 24/7 | מיכלי גז | תרופות ללא מרשם
186,דוד בת-ים,רזיאל רמת הנשיא  5,בת ים,yellow | 24/7 | תדלוק בשירות מלא
627,דוד ערד,רח' שמיר א.ת בכניסה לעיר  3,ערד,yellow | 24/7 | פז charge | אוריאה
607,דימונה,"כביש ב""ש סדום א.ת דימונה",דימונה,"yellow | 24/7 | פלאפל בריבוע | גפ""מ | כספומט | פז charge | אוריאה | תרופות ללא מרשם"
379,דלית אל כרמל,,דאלית אל-כרמל,yellow | 24/7
542,דרך המנהרות,כביש 60   ביציאה הדרומית מירושלים,ירושלים,yellow | שומרות שבת | בנזין 98 | אוריאה | תרופות ללא מרשם
250,הבושם אשדוד,רח' הבושם 3,אשדוד,yellow | 24/7
380,הדגן,האיצטדיון 13 ליד הום סנטר  קרית חיים,חיפה,פז wash | yellow | 24/7 | כספומט | פז charge | אוריאה
254,הדסים,כניסה צפונית לאבן יהודה מצומת קדימה הדסים  ליד פנימיית הדסים,אבן יהודה,yellow market | 24/7 | מיכלי גז | תרופות ללא מרשם
307,הדר כרמל,החלוץ  25,חיפה,yellow | 24/7 | כספומט
144,הוד השרון,דרך רמתיים 98,הוד השרון,פז wash | yellow | 24/7 | תדלוק בשירות מלא
366,היוגב,בכניסה למושב יוגב כביש יוקנעם-מגידו,היוגב,yellow | 24/7 | פז charge | מיכלי גז | תרופות ללא מרשם
276,היונה (שמוטקין),שמוטקין פינת ברשבסקי,ראשון לציון,yellow | 24/7 | כספומט | בנזין 98 | פז charge
112,הירקון,דרך נמיר  136,תל אביב - יפו,yellow market | 24/7 | כספומט | פז charge | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם
502,המלך דוד,המלך דוד  19,ירושלים,yellow | 24/7 | כספומט | בנזין 98 | פז charge | תדלוק בשירות מלא
241,הנופר,"הנופר 36 אזה""ת רעננה",רעננה,פז wash | yellow market | 24/7 | בנזין 98 | אוריאה | תרופות ללא מרשם
613,הנשיאים,"דרך הנשיאים כביש ב""ש-בית קמה",באר שבע,yellow | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם
108,הסיירים,כביש 4 תל אביב -אשדוד מול מרכז חיזוי בית דגן,בית דגן,"yellow | 24/7 | גפ""מ | כספומט | בנזין 98 | פז charge | אוריאה | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם"
500,העשור,"שד' ויצמן ביציאה מהעיר לת""א",ירושלים,yellow | שומרות שבת
315,הר הכרמל,שדרות הנשיא 132 חיפה מרכז,חיפה,yellow | 24/7 | בנזין 98
113,הרצליה עיר,הרב קוק  74,הרצליה,yellow market | 24/7 | כספומט | תרופות ללא מרשם
158,השלום,דרך השלום  13,תל אביב - יפו,yellow | 24/7 | כספומט | בנזין 98 | תרופות ללא מרשם
145,התקווה,דרך ההגנה 42 שכונת התקווה,תל אביב - יפו,yellow | שומרות שבת
111,זיו און,דרך הטייסים 126,תל אביב - יפו,פז wash | yellow | שומרות שבת | כספומט | אוריאה | תדלוק בשירות מלא
324,זך רופין,כביש חדרה-בית ליד  (בכניסה למכללת רופין),מעברות,yellow market | 24/7 | פלאפל בריבוע | כספומט | בנזין 98 | פז charge | מיכלי גז | תרופות ללא מרשם
213,חגור,כביש 444  צומת קיבוץ חורשים,חגור,yellow | 24/7 | כספומט | פז charge | אוריאה | תדלוק בשירות מלא
308,חדרה,כביש חיפה-חדרה צומת חדרה,חדרה,yellow market | 24/7 | כספומט | פז charge | אוריאה | תרופות ללא מרשם
311,חוואסה,דרך בר יהודה ליד הצ'ק פוסט בכניסה לנשר,חיפה,פז charge
114,חולון,שדרות לוי אשכול כיכר קוגל  1,חולון,yellow | 24/7 | כספומט | בנזין 98 | אוריאה | תדלוק בשירות מלא
333,חוף הכרמל,כביש חיפה - תל אביב ביציאה מחיפה,חיפה,yellow | 24/7 | כספומט | פז charge | מיכלי גז | תרופות ללא מרשם
342,חופית,כביש החוף - בכניסה לכפר ויתקין,כפר ויתקין,yellow | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם
306,חיפה מזרח,חטיבת גולני  64,חיפה,yellow | 24/7
326,טבעון,אלונים 2 בכניסה לטבעון,קרית טבעון,yellow | 24/7 | בנזין 98 | פז charge | אוריאה | תדלוק בשירות מלא
409,טבריה עילית,רח ויצמן א.ת. חדש טבריה עילית,טבריה,yellow | 24/7 | פז charge
322,טבריה עיר,אלחדיף,טבריה,yellow | שומרות שבת | כספומט | תרופות ללא מרשם
179,טופז,משה סנה  199,רמת השרון,yellow market | 24/7 | פלאפל בריבוע | כספומט | בנזין 98 | פז charge | תדלוק בשירות מלא | תרופות ללא מרשם
116,טירה,בכניסה לישוב כפר טירה מכיוון כפר סבא,טירה,yellow | 24/7 | כספומט | בנזין 98
356,טירת הכרמל,"כרמלים אזה""ת טירת הכרמל",טירת כרמל,24/7
109,טל הגשר,,,כספומט | בנזין 98 | אוריאה
214,טל עופרה,צומת טל עופרה בכניסה לאלפי מנשה,אלפי מנשה,yellow | 24/7 | כספומט | בנזין 98 | פז charge | תרופות ללא מרשם
274,יבנה הירוקה,המיסב 6,יבנה,yellow market | 24/7 | פז charge | תרופות ללא מרשם
257,יהוד,רח' אלטלף  21,יהוד-מונוסון,פז wash | yellow | 24/7 | תרופות ללא מרשם
353,יזרעאליה,דרך שמחה גולן נווה שאנן,חיפה,yellow | 24/7
420,יסמין,רח' הטחנה איזור תעשיה,בנימינה-גבעת עדה,yellow | 24/7 | כספומט | פז charge | תרופות ללא מרשם
345,יפעת,בכניסה לקיבוץ יפעת,יפעת,yellow | 24/7
153,יציב,"כביש גהה בני ברק ע""י קוקה קולה",בני ברק,yellow | שומרות שבת | כספומט | בנזין 98 | תדלוק בשירות מלא | תרופות ללא מרשם
